CD;CD;America;Human Nature;FolkRock;1998;ozyggen;Carl
CD;CD;American Spring;Spring.....plus;Pop;1989;see for miles;Brian
CD;CD;Argerich, Martha;Pianistin;Klassik;2006;ZEIT;Various
CD;CD;Armstrong, Louis;Audio Archive;Blues/ Jazz;;Tring;
CD;CD;Astronauts, The;Competition Coupe / Surfin' With;SurfPop;1989;Bear;BB
CD;CD;Bach, Michael;Das Schönste Geschenk;Christmas;;Wildbach;2 x
CD;CD;Bach, Michael;Frohe Weihnacht;Christmas;;Single;B. Boys
CD;CD;Barenaked Ladies;Brian Wilson;Pop;;Single;Promo
CD;CD;Beach Boys, The;Magic Collection;Surf Pop;;ARC;
CD;CD;Beach Boys, The;The Beach Boys;Surf Pop;1990;Starlite;
CD;CD;Beach Boys, The;California Girls;Surf Pop;1987;Capitol;
CD;CD;Beach Boys, The;Superhits 16;Surf Pop;1992;Dynamic;
CD;CD;Beach Boys, The;The Beach Boys;Surf Pop;1990;Duchesse;
CD;CD;Beach Boys, The;Wonderful World;Surf Pop;1993;Remember;
CD;CD;Beach Boys, The;Spirit of the 60s;Surf Pop;1991;TimeLife;
CD;CD;Beach Boys, The;Summer Dreams;Surf Pop;1990;Capitol;
CD;CD;Beach Boys, The;California Dreamin';Surf Pop;1998;Disky;
CD;CD;Beach Boys, The;Look Behind;Surf Pop;1993;AAD;DCD
CD;CD;Beatles, The;Live at the BBC;PopRock;1994;Apple;DCD Mono
CD;CD;Beatles, The;Baby It's You;PopRock;1995;Apple;4 Songs
CD;CD;Beau Brummels;Autumn in Frisco;Beat;1985;Edsel;60th
CD;CD;Belafonte, Harry;Harry Belafonte;Folklore;;Universe;
CD;CD;Berg, Alban  (Quartett);Streicher;Klassik;2006;ZEIT;Schubert
CD;CD;Berry, Chuck;Is On Top;R&R;1993;MCA;50th
CD;CD;Bluegrass Tribute;Pickin' On;Bluegrass;2004;CMH;BB
CD;CD;Blues Company;Life '89;German Blues;1989;Inak;
CD;CD;Braun, Frank;Batschkapp-Blues;Folklore;;Verbatin;Single
CD;CD;Bruce & Terry;The Best Of;Surf Pop;1998;Sundazed;Bruce
CD;CD;Burke, Solomon;Don't Give Up On Me;SoulPop;2002;ANTI;Brian
CD;CD;Callas, Maria;Sängerin;Klassik;2006;ZEIT;Various
CD;CD;Casals, Pablo;Cellist;Klassik;2006;ZEIT;Bach
CD;CD;Cash, Johnny;Folsom Prison / San Quentin;Country;1995;Sony;
CD;CD;Cash, Johnny;The Man In Black;Country;1994;Columbia;
CD;CD;Cash, Johnny;The Man Comes Around;Country;2002;American;
CD;CD;Cash, Johnny;A Hundred Highways;Country;2002;selbst;
CD;CD;Chaplin, Blondie;Rock + Roll;Pop;1977;Elektra;Autogramm
CD;CD;Chaplin, Blondie;Hurricane;Pop;2006;Single;Autogramm
CD;CD;Charles, Ray;Greatest Hits;Blues/Soul;1999;rnm;DCD
CD;CD;Clapton, Eric;Unplugged;SlowRock;1992;selbst;
CD;CD;Clapton, Eric;The Cream of Clapron;SlowRock;1994;Polydor;
CD;CD;Cole, Nat King;Nat King Cole;Swing Pop;1997;wg;
CD;CD;Comedian Harmonists;Größten Erfolge  Vol.1;A Capella;1998;SCC;20th / 30th
CD;CD;Dale, Dick;Better Shred Than Dead;Surf;1997;RHINO;DCD
CD;CD;Dastan Ensemble;Homage to Molavi;Iran;1999;Sounds True;
CD;CD;Day, Doris;My Heart;Pop;2011;Sony;Terry, Bruce
CD;CD;Deix, Manfred;Musik aus Ameriga;Pop;1995;Arcade;BB
CD;CD;Dritte Ohr, Das;Schwarz auf Weiss;German Blues;1994;Pogo;Live
CD;CD;Fabulous Thunderbirds, The;Hot Stuff;BluesRock;1992;Epic;
CD;CD;Fischer-Dieskau, Dietrich;Sänger;Klassik;2006;ZEIT;Schubert
CD;CD;Five Live;A Capella;Pop;1993;AAD;Live
CD;CD;Furtwängler, Wilhelm;Dirigent;Klassik;2006;ZEIT;Beethoven
CD;CD;Gabriel, Gunter;Sohn aus dem Volk;GermanCountry;2009;Warner;
CD;CD;Gari, Brian;Sings Brian Wilson;Pop;2002;Cast;BB
CD;CD;Gidea Park;Live in Concert;SurfPop;2013;Baker;BB
CD;CD;Gidea Park;Sun and Surf;SurfPop;1996;Hallmark;BB
CD;CD;Graaf;Different World;Deutsch Rock;1996;ADD;Ralph
CD;CD;Groovties, The;Live in Hecklingen;German Beat;2000;Special;
CD;CD;Guns' N' Roses;Appetite For Destruction;Hardrock;1987;Geffen;
CD;CD;Hallen, Klaus (Tanzorchester);Beach Boys for dancing;KlassikPop;1996;Hallen;BB
CD;CD;Healey, Jeff   (Band);Cover to Cover;BluesRock;1995;Arista;
CD;CD;Hole, Dave;Steel On Steel;BluesRock;1995;Provogue;
CD;CD;Hole, Dave;Overtime;BluesRock;1993;Provogue;
CD;CD;Holly, Buddy;The Best Of;R&R;1990;World Star;50th
CD;CD;Honeys, The;The Honeys;Surf Pop;1992;Capitol;Brian
CD;CD;Hondells, The;You're gonna Ride with Us;SurfPop;1995;ATM;Usher, Brian
CD;CD;Hopkins, Rich & Luminarios;Buried Treasures;Folk;2012;Blue Rose;Autogramm
CD;CD;Iceman;Thriller;DeutschPop;2009;;Holger
CD;CD;Jan & Dean;Fun Fun Fun;Surf Pop;;ARC;BB
CD;CD;Jan & Dean;Greatest Hits;Surf Pop;1989;Duchesse;BB
CD;CD;Jansons, Mariss;Dirigent;Klassik;2006;ZEIT;Schostakowitsch
CD;CD;John, Elton;Reg Strikes Back;PopRock;1988;phonogramm;Bruce, Carl
CD;CD;Jon & Nightriders, The;Moving Target;SurfPop;1999;Gee-Dee;BB
CD;CD;Karaoke;Backstage;SurhPop;;Graphics;BB
CD;CD;Kathy X;Ready For Anything;Pop;2004;Cosmic;Autogramm
CD;CD;Kennedy, Nigel;Geiger;Klassik;2006;ZEIT;Vivaldi
CD;CD;King's Singers, The;Good Vibrations;A Capella;1993;Single;BB
CD;CD;King's Singers, The;Good Vibrations;A Capella;1992;RCA;BB
CD;CD;Knopfler, Mark;Sailing to Philadelphia;Pop;2000;Mercury;
CD;CD;Kristofferson, Kris;This Old Road;Country;2006;New West;
CD;CD;Lamm, Robert;In My Heard;US Pop;1999;in akustik;Carl
CD;CD;Looney Tunes, The;Beyond the Dune;Surf Rock;1997;Gee-Dee;
CD;CD;Magic Hero;V.S. Rock People;US Pop;2012;troun;Manson
CD;CD;Mavericks, The;Music for all Occasions;Country;1995;MCA;
CD;CD;Mavericks, The;Trampoline;Country;1998;MCA;
CD;CD;Memories, The;Forever Young;Pop;1996;ADD;BB
CD;CD;Memphis Slim;Harlem Bound;Swing / Blues;;;
CD;CD;Menuhin, Yehudi;Geiger;Klassik;2006;ZEIT;Various
CD;CD;MP    (Melting Point);Bursting Out;Heavy Metal;1999;Shark;Autogramm
CD;CD;MP    (Melting Point);Melting Point;Heavy Metal;1992;Savage;
CD;CD;Müller, Stephan;Cembalo;Klassik;;selbst;Tina
CD;CD;Nazeri, Shahram;Charming Sorrow;Iran;;;
CD;CD;Nelson, Willie;Red Headed Stranger;Country;1975;CBS;
CD;CD;New Symphonic Orchestra;The Beach Boys;KlassikPop;1999;Disky;BB
CD;CD;Niemandsland;Stunde Null;Liedermacher;2006;;Ilona
CD;CD;Oasis;Definitely Maybe;BritPop;1994;Sony;
CD;CD;Palast Orchester, Das;Wintergarten;Swing;1993;Monopol;20th / 30th
CD;CD;Papa O;Back from Space;Pop;1994;ATM;BB
CD;CD;Pfeffermond;Ondas de Som;Folklore;2008;rbb;
CD;CD;Pollini, Maurizio;Pianist;Klassik;2006;ZEIT;Chopin
CD;CD;Presley, Elvis;Good Rockin' Tonight;R&R;1988;Take Off;50th
CD;CD;Pretty Thinks, The;Unrepentant;R&B Rock;1995;SPV;DCD
CD;CD;Queen;Best of Vol.1;Hardrock;1995;Sony;Ilona
CD;CD;Rämouns, The;Rockaway Beach Boys;Punkrock;2009;Wolverine;BB
CD;CD;R.E.M.;Out Of Time;Independent;1991;Warner;
CD;CD;Rea, Chris;The Very Best;Rock;2001;Warner;
CD;CD;Revere, Paul & Raiders, The;The Essential Ride;US Beat;1995;Sony;60th
CD;CD;Riemann, Torsten;Auf einmal kannst Du Fliegen;Liedermacher;1995;Rockwerk;
CD;CD;Rip Chords, The;Three Window Coupe;Surf Pop;1996;Sundazed;Bruce
CD;CD;Rip Chords, The;Hey Little Cobra;Surf Pop;1996;Sundazed;BB
CD;CD;Roadrunners, The;The Beat Is Back;German Beat;1997;R.R. Music;60th
CD;CD;Royal Philharmonic Orchestra;Music of the Beach Boys;Klassik;1998;Intersound;BeachBoys
CD;CD;Sa Ba Dö;Hemmweh;Folklore;;Wildbach;
CD;CD;Schuhmann, Coco;50 Years in Jazz;Swing;1997;Trikont;
CD;CD;Schwarzkopf, Elisabeth;Sopranistin;Klassik;2006;ZEIT;Strauss
CD;CD;Second Try;Fake;DeutschPop;;;Holger
CD;CD;Sentinals, The;Surfer Girl / Big Surf!;Surf;1995;Repertoire;BB
CD;CD;Setzer, Brian;Tribute To SUN Records;Rockabilly;2005;Surfdog;50th
CD;CD;Setzer, Brian;'68 Comeback Special;BluesRock;2001;Ignition;
CD;CD;Setzer, Brian Orchestra;Setzer, Brian Orchestra;SwingPop;1994;ING;
CD;CD;Setzer, Brian Orchestra;Dirty Boogie;Boogie;1998;Interscope;
CD;CD;Shonen Knife;Get the Wow;Pop;1993;Aucusi;BB
CD;CD;Sting;Brand New Day;ArtPop;1999;A6M;
CD;CD;Slackmates, The;Hot Car Girls;Surf Rock;1997;Gee-Dee;
CD;CD;Status Quo;Don't Stop;Boogie/Rock;1996;Polygram;BeachBoys
CD;CD;Strandjungs, Die;In California;Deutsch Pop;1989;Rondo;BB
CD;CD;Strandjungs, Die;Strandgold;Deutsch Pop;;Tyrolis;BB
CD;CD;Stray Cats, The;Original Cool;Rockabilly;1993;Castle;50th / 60th
CD;CD;Summers, Gene;School Of R&R;R&R;;Collector;50th
CD;CD;Surfgrass;Surfgrass;SurfPop;1997;;BB
CD;CD;T – Bone;Backbone;Deutsch Rock;1999;;Ilona
CD;CD;Taylor, Koko;Royal Blue;Blues/Soul;2000;Alligator;
CD;CD;Thomas, David & two pale boys;Surf's Up!;ArtPop;2001;Glitterhouse;Brian
CD;CD;Truck Stop;Take it easy altes Haus;GermanCountry;;Spectrum;
CD;CD;Turner, Tina;Good Hearded Woman;Country;1997;RockCartoon;
CD;CD;Usher, Gary;Add Some Music To Your Day;KlassikPop;2001;poptones;Brian
CD;CD;Various  (Bach);Best of Bach;Klassik;2003;Universal;
CD;CD;Vaughan, Stevie;In the Beginning;BluesRock;1980;Sony;Live
CD;CD;Wilson, Carnie and Wendy;Hey Santa;Christmas;1990;SBK;
CD;CD;Wilsons, The;Monday Without You;SurfPop;1997;Mercury;Promo
CD;CD;Wilsons, The;The Wilsons;SurfPop;1997;Mercury;
CD;CD;Wilson Phillips;California;Pop;2004;Columbia;BB
CD;CD;Wilson Phillips;Dedicated;Pop;2012;Masterworks;BB
CD;CD;Wilson Phillips;Flesh & Blood;Pop;1992;SBK;Single
CD;CD;Wilson Phillips;Give It Up;Pop;1992;SBK;Single
CD;CD;Wilson Phillips;Release Me;Pop;1990;EMI;
CD;CD;Wilson Phillips;Shadows and Light;Pop;1992;EMI;
CD;CD;Wilson Phillips;You won't me Cry;Pop;1992;SBK;Single
CD;CD;Wilson Phillips;Wilson Phillips;Pop;1990;SBK;
CD;CD;Wondermints;Wondermints;Pop;1996;sanctuary;Brian
CD;CD;Xahdja Nin;;AfroPop;;selbst;
CD;CD;Chilton, Alex;Candlelight;Wave;1997;Bar/None;Live
CD;CD;Jones, Tom;Spirit in the Room;FolkBlues;2012;Island;
CD;CD;GRATEFUL DEAD, The;meet the Beach Boys;West Coast;1971;;Live
